ASM_ACCESSION,NCBI_TAXID,SPECIES_IN,STRAIN,PHYLUM,SUBPHYLUM,CLASS,SUBCLASS,ORDER,FAMILY,GENUS,SPECIES,Date,Genome_coverage,Assembly_method,Sequencing_technology,Assembly_type,Assembly_level,scaffold_N50,scaffold_count,total_length,gene_count,gene_length_mean,exon_count,exon_length_mean,CDS_count,CDS_length_mean,intron_count,intron_length_mean,softmasked_percent,GC_percent
GCA_000372705.1_YLSCbra_1.0,1202554,Cerataphis brasiliensis yeast-like symbiont,,Ascomycota,,,,,,,Cerataphis brasiliensis yeast-like symbiont,2013-04-22,39x,Velvet v. 1.2.07,Illumina HiSeq 1000,haploid,Scaffold,39063,1181,25465455,0,0,0,0,0,0,0,0,10.91,55.23
GCF_000006335.3_ASM633v3,294747,Candida tropicalis MYA-3404,MYA-3404,Ascomycota,,Saccharomycetes,,Saccharomycetales,Debaryomycetaceae,Candida,Candida tropicalis,2009-06-18,8.85x,,ABI,haploid,Scaffold,1654078,24,14630139,6440,1416.60,6475,1407.91,6288,1447.29,34,199.26,21.20,33.03
GCA_003314235.1_ASM331423v1,57193,Cantharellus cinnabarinus,MG28,Basidiomycota,,Agaricomycetes,,Cantharellales,Cantharellaceae,Cantharellus,Cantharellus cinnabarinus,2018-07-11,93x,platanus version v. 1.2.1,Complete Genomics,haploid,Scaffold,8360,19294,62363499,0,0,0,0,0,0,0,0,19.92,46.95
GCA_037042815.1_FABI_CPap_1.1,184409,Ceratobasidium papillatum,CBS 570.83,Basidiomycota,,Agaricomycetes,,Cantharellales,Ceratobasidiaceae,Ceratobasidium,Ceratobasidium papillatum,2024-03-06,268.0x,SPAdes v. 3.15,MGI DNBSeq G400,haploid,Scaffold,23435,3091,41322102,0,0,0,0,0,0,0,0,4.11,48.99
GCA_023646255.1_KEW_Caet,520572,Caloplaca aetnensis,LIQ82CAATT,Ascomycota,,Lecanoromycetes,,Teloschistales,Teloschistaceae,Caloplaca,Caloplaca aetnensis,2022-06-02,55x,MEGAHIT v. 1.2.9; redundans v. 0.14a,Illumina NovaSeq,haploid,Contig,,,31894861,9134,1587.75,23580,557.79,23534,558.70,14446,93.44,9.69,49.36
GCA_025782845.1_Bolcoc1,1758874,Boletus coccyginus,2016PMI039,Basidiomycota,,Agaricomycetes,,Boletales,Boletaceae,Boletus,Boletus coccyginus,2022-10-20,296.28x,Falcon pb-assembly v. 0.0.2; falcon-kit v. 1.2.3; pypeflow v. 2.1.0,PacBio,haploid,Contig,,,54939811,12457,1735.32,74893,234.32,72812,212.62,62436,65.15,13.88,48.73
GCA_037974915.1_genoma_LAO1,1582974,Ceratobasidium theobromae,LAO1,Basidiomycota,,Agaricomycetes,,Cantharellales,Ceratobasidiaceae,Ceratobasidium,Ceratobasidium theobromae,2024-04-05,1160.0x,Unicycler v. 0.4.8,Oxford Nanopore; Illumina,haploid,Contig,,,33255833,0,0,0,0,0,0,0,0,5.09,48.98
GCA_027604605.1_ASM2760460v1,2735257,Borealophlyctis nickersoniae,WJD170,Chytridiomycota,,Chytridiomycetes,,Rhizophlyctidales,Borealophlyctidaceae,Borealophlyctis,Borealophlyctis nickersoniae,2023-01-09,45x,SPAdes v. 3.11.0; AAFTF v. 0.2.3; Pilon v. 1.22,Illumina NextSeq,haploid,Scaffold,16159,4487,38361113,11521,1629.83,56776,263.42,56533,264.20,45255,84.43,9.82,50.63
GCA_002778105.1_ASM277810v1,553390,Ceratocystiopsis brevicomis,CBS 137839,Ascomycota,,Sordariomycetes,,Ophiostomatales,Ophiostomataceae,Ceratocystiopsis,Ceratocystiopsis brevicomis,2017-11-16,115x,AllPaths v. 48777,Illumina HiSeq,haploid,Scaffold,1466767,200,20737847,0,0,0,0,0,0,0,0,20.22,56.49
GCA_019925685.1_ASM1992568v1,2779953,Ceratocystiopsis sp. VPRI43766,VPRI43766,Ascomycota,,Sordariomycetes,,Ophiostomatales,Ophiostomataceae,Ceratocystiopsis,Ceratocystiopsis sp. VPRI43766,2021-09-10,197x,SPAdes v. 3.14.1,Illumina NovaSeq,haploid,Scaffold,471680,79,20448741,0,0,0,0,0,0,0,0,24.87,61.48
GCA_001676865.1_ASM167686v1,360147,Ceratocystiopsis minuta,CBS 138717,Ascomycota,,Sordariomycetes,,Ophiostomatales,Ophiostomataceae,Ceratocystiopsis,Ceratocystiopsis minuta,2016-06-27,80.0x,CLC Genomics Workbench v. 8.0.1,Illumina HiSeq,haploid,Scaffold,64077,904,21299258,0,0,0,0,0,0,0,0,23.83,61.68
GCA_037039685.1_ASM3703968v1,251411,Ceratobasidium sp. AG-K,GS6,Basidiomycota,,Agaricomycetes,,Cantharellales,Ceratobasidiaceae,Ceratobasidium,Ceratobasidium sp. AG-K,2024-03-06,270.0x,SMRT Link v. v5.0.1; ALLHIC v. v0.9.12; MECAT v. v1.3,Illumina NovaSeq; Illumina HiSeq; PacBio Sequel,haploid,Scaffold,5322151,17,53633150,0,0,0,0,0,0,0,0,14.25,49.82
GCA_010015675.1_Bysci1,147558,Byssothecium circinans,CBS 675.92,Ascomycota,,Dothideomycetes,,Pleosporales,Massarinaceae,Byssothecium,Byssothecium circinans,2020-01-29,96.3x,AllPathsLG v. R47710,Illumina,haploid,Scaffold,869913,160,49288729,15848,1639.10,42259,557.04,41292,488.72,26404,92.30,10.93,47.23
GCA_001640685.1_ASM164068v1,72027,Ceratocystis adiposa,CBS136.34,Ascomycota,,Sordariomycetes,,Microascales,Ceratocystidaceae,Ceratocystis,Ceratocystis adiposa,2016-05-09,93.0x,CLC NGS Cell v. 8.5.1; SSPACE v. APRIL-2016; GapFiller v. APRIL-2016,Illumina GAIIx,haploid,Scaffold,114648,644,28339215,0,0,0,0,0,0,0,0,7.51,47.04
GCA_019364595.1_ASM1936459v1,1325616,Butyriboletus roseoflavus,LA02,Basidiomycota,,Agaricomycetes,,Boletales,Boletaceae,Butyriboletus,Butyriboletus roseoflavus,2021-07-27,165.0x,FALCON v. 1.8.7,PacBio Sequel,haploid,Contig,,,33976981,9264,1544.95,47794,244.82,47686,245.19,38672,64.43,12.80,49.02
GCA_002742255.2_ASM274225v2,357446,Ceratocystis albifundus,CMW4068,Ascomycota,,Sordariomycetes,,Microascales,Ceratocystidaceae,Ceratocystis,Ceratocystis albifundus,2019-05-13,150.0x,SMRT Portal v. 2.0.0; Canu v. 1.7; SSPACE v. 1.1; Pilon v. 2,PacBio; Illumina GAIIx,haploid,Scaffold,2308174,38,29251868,0,0,0,0,0,0,0,0,15.17,48.88
GCA_003615045.1_Caupr1,1555241,Caulochytrium protostelioides,ATCC 52028,Chytridiomycota,,Chytridiomycetes,,Caulochytriales,Caulochytriaceae,Caulochytrium,Caulochytrium protostelioides,2018-10-05,128.4x,AllPathsLG v. R49403,Illumina,haploid,Scaffold,92490,564,21796879,6290,1774.33,9871,1045.94,9749,1058.06,3581,233.47,29.44,66.41
GCA_018397855.1_ASM1839785v1,495285,Boletus reticuloceps,BR01,Basidiomycota,,Agaricomycetes,,Boletales,Boletaceae,Boletus,Boletus reticuloceps,2021-05-18,149.0x,FALCON v. 1.8.7,PacBio Sequel,haploid,Contig,,,55833107,13323,1465.92,67036,241.62,66908,241.93,53713,62.05,10.12,49.86
GCA_038382165.1_ASM3838216v1,3111108,Ceratocystis alfenasii,C4588,Ascomycota,,Sordariomycetes,,Microascales,Ceratocystidaceae,Ceratocystis,Ceratocystis alfenasii,2024-04-18,18.4x,SPAdes v. 3.11.1,Illumina MiSeq,haploid,Contig,,,30512148,0,0,0,0,0,0,0,0,12.45,48.09
GCA_026023815.1_ASM2602381v1,460848,Candelaria pacifica,Spribille 42405/TS-e1880,Ascomycota,,Candelariomycetes,,Candelariales,Candelariaceae,Candelaria,Candelaria pacifica,2022-11-07,845x,SPAdes v. 3.12.0,Illumina HiSeq,haploid,Scaffold,254030,850,28982752,8616,1567.71,25379,480.38,24826,489.39,16763,78.49,10.01,44.35
GCA_002776505.1_ASM277650v1,386457,Ceratocystis cacaofunesta,C1593,Ascomycota,,Sordariomycetes,,Microascales,Ceratocystidaceae,Ceratocystis,Ceratocystis cacaofunesta,2017-11-16,369.0x,Velvet v. 1.1.01,Illumina HiSeq,haploid,Scaffold,386266,603,30484172,0,0,0,0,0,0,0,0,12.85,48.05
GCA_038382405.1_ASM3838240v1,3111109,Ceratocystis atlantica,C1987,Ascomycota,,Sordariomycetes,,Microascales,Ceratocystidaceae,Ceratocystis,Ceratocystis atlantica,2024-04-18,15.4x,SPAdes v. 3.11.1,Illumina MiSeq,haploid,Contig,,,30953341,0,0,0,0,0,0,0,0,12.12,48.17
GCA_026023795.1_ASM2602379v1,460854,Candelina submexicana,AH-540/DDE406,Ascomycota,,Candelariomycetes,,Candelariales,Candelariaceae,Candelina,Candelina submexicana,2022-11-07,958x,SPAdes v. 3.14.1,Illumina HiSeq,haploid,Scaffold,16318,3028,23786893,8229,1576.10,24569,475.44,24530,476.04,16340,78.86,5.68,48.11
GCA_026419805.1_ASM2641980v1,496997,Ceratocystis colombiana,CBS121792,Ascomycota,,Sordariomycetes,,Microascales,Ceratocystidaceae,Ceratocystis,Ceratocystis colombiana,2022-11-27,36.0x,SPAdes v. 3.14,Illumina HiSeq,haploid,Scaffold,80739,973,31188022,0,0,0,0,0,0,0,0,12.20,47.93
GCA_038382365.1_ASM3838236v1,3111110,Ceratocystis costaricensis,C1551,Ascomycota,,Sordariomycetes,,Microascales,Ceratocystidaceae,Ceratocystis,Ceratocystis costaricensis,2024-04-18,5.65x,SPAdes v. 3.11.1,Illumina MiSeq,haploid,Contig,,,30610339,0,0,0,0,0,0,0,0,12.23,48.23
GCA_025200755.1_ASM2520075v1,2975142,Ceratobasidium sp. C01,C01,Basidiomycota,,Agaricomycetes,,Cantharellales,Ceratobasidiaceae,Ceratobasidium,Ceratobasidium sp. C01,2022-09-14,225.0x,CLC Genomics Workbench v. 22,Illumina HiSeq,haploid,Scaffold,12408,13085,88334453,0,0,0,0,0,0,0,0,6.66,49.94
GCA_038382285.1_ASM3838228v1,3111918,Ceratocystis cubensis,C1811,Ascomycota,,Sordariomycetes,,Microascales,Ceratocystidaceae,Ceratocystis,Ceratocystis cubensis,2024-04-18,29.6x,SPAdes v. 3.11.1,Illumina MiSeq,haploid,Contig,,,30256846,0,0,0,0,0,0,0,0,12.43,48.14
GCA_026023805.1_ASM2602380v1,460853,Candelina mexicana,AC779/DDE408,Ascomycota,,Candelariomycetes,,Candelariales,Candelariaceae,Candelina,Candelina mexicana,2022-11-07,662x,SPAdes v. 3.13.1,Illumina HiSeq,haploid,Contig,,,33725466,8212,1678.76,25703,482.21,25659,482.87,17491,79.58,19.67,42.19
GCA_038407095.1_ASM3840709v1,2594535,Ceratocystis destructans,C1822,Ascomycota,,Sordariomycetes,,Microascales,Ceratocystidaceae,Ceratocystis,Ceratocystis destructans,2024-04-22,9.51x,SPAdes v. 3.11.1,Illumina MiSeq,haploid,Contig,,,27379846,0,0,0,0,0,0,0,0,12.19,49.00
GCA_019669825.1_Calmar1,1763456,Calycina marina,TRa3180A,Ascomycota,,Leotiomycetes,,Helotiales,Pezizellaceae,Calycina,Calycina marina,2021-08-18,185.3x,SPAdes v. 3.12.0,Illumina,haploid,Scaffold,54098,1318,34209217,9641,1743.80,30042,505.26,29206,435.87,20397,80.07,8.45,47.62
GCA_038406795.1_ASM3840679v1,600623,Ceratocystis diversiconidia,C1696,Ascomycota,,Sordariomycetes,,Microascales,Ceratocystidaceae,Ceratocystis,Ceratocystis diversiconidia,2024-04-22,9.28x,SPAdes v. 3.11.1,Illumina MiSeq,haploid,Contig,,,29728082,0,0,0,0,0,0,0,0,11.89,48.07
GCA_038407015.1_ASM3840701v1,879098,Ceratocystis ficicola,C1355,Ascomycota,,Sordariomycetes,,Microascales,Ceratocystidaceae,Ceratocystis,Ceratocystis ficicola,2024-04-22,9.67x,SPAdes v. 3.11.1,Illumina MiSeq,haploid,Contig,,,26680719,0,0,0,0,0,0,0,0,11.77,49.28
GCA_002018265.1_ASM201826v1,312341,Ceratocystis harringtonii,CMW 14789,Ascomycota,,Sordariomycetes,,Microascales,Ceratocystidaceae,Ceratocystis,Ceratocystis harringtonii,2017-03-03,111.73x,CLC Genomics workbench v. 2016; SSPACE v. 2016; GapFiller v. 2016,Illumina GAIIx,haploid,Scaffold,65720,813,26062404,0,0,0,0,0,0,0,0,11.63,49.00
GCA_001513815.1_ASM151381v1,633669,Ceratocystis eucalypticola,CMW9998,Ascomycota,,Sordariomycetes,,Microascales,Ceratocystidaceae,Ceratocystis,Ceratocystis eucalypticola,2016-01-13,80.0x,CLCbio de novo assembler v. AUG-2015,Illumina HiSeq,haploid,Scaffold,119876,959,30717923,0,0,0,0,0,0,0,0,11.93,48.07
GCA_038382965.1_ASM3838296v1,2019549,Ceratocystis huliohia,C4573,Ascomycota,,Sordariomycetes,,Microascales,Ceratocystidaceae,Ceratocystis,Ceratocystis huliohia,2024-04-18,11.2x,SPAdes v. 3.11.1,Illumina MiSeq,haploid,Contig,,,27920527,0,0,0,0,0,0,0,0,11.48,48.80
GCA_032173455.1_Cf_hybrid,5158,Ceratocystis fimbriata,Cf-pan,Ascomycota,,Sordariomycetes,,Microascales,Ceratocystidaceae,Ceratocystis,Ceratocystis fimbriata,2023-09-28,300.0x,MaSuRCA v. 4.1.0,Illumina NextSeq; Oxford Nanopore,haploid,Contig,,,36097259,0,0,0,0,0,0,0,0,11.46,48.60
GCA_038406995.1_ASM3840699v1,436288,Ceratocystis fimbriatomima,C2125,Ascomycota,,Sordariomycetes,,Microascales,Ceratocystidaceae,Ceratocystis,Ceratocystis fimbriatomima,2024-04-22,21.3x,SPAdes v. 3.11.1,Illumina MiSeq,haploid,Contig,,,31370661,0,0,0,0,0,0,0,0,12.21,47.98
GCA_023509845.1_ASM2350984v1,2019550,Ceratocystis lukuohia,CBS 142792,Ascomycota,,Sordariomycetes,,Microascales,Ceratocystidaceae,Ceratocystis,Ceratocystis lukuohia,2022-05-19,14.0x,SPAdes v. 3.11.1,Illumina MiSeq,haploid,Contig,,,30676995,0,0,0,0,0,0,0,0,12.73,48.21
GCA_038406855.1_ASM3840685v1,929235,Ceratocystis manginecans,C1688,Ascomycota,,Sordariomycetes,,Microascales,Ceratocystidaceae,Ceratocystis,Ceratocystis manginecans,2024-04-22,16.8x,SPAdes v. 3.11.1,Illumina MiSeq,haploid,Contig,,,31354038,0,0,0,0,0,0,0,0,12.03,47.98
GCA_038406885.1_ASM3840688v1,496998,Ceratocystis papillata,C1750,Ascomycota,,Sordariomycetes,,Microascales,Ceratocystidaceae,Ceratocystis,Ceratocystis papillata,2024-04-22,8.41x,SPAdes v. 3.11.1,Illumina MiSeq,haploid,Contig,,,31438283,0,0,0,0,0,0,0,0,12.51,48.07
GCA_003449175.1_ASM344917v1,312343,Ceratocystis smalleyi,CMW14800,Ascomycota,,Sordariomycetes,,Microascales,Ceratocystidaceae,Ceratocystis,Ceratocystis smalleyi,2018-09-04,84.0x,CLC Genomics Workbench v. 9.0.1; SSPACE v. Oct-2016; GapFiller v. Oct-2016,Illumina GAIIx,haploid,Scaffold,38756,1242,25763109,0,0,0,0,0,0,0,0,12.32,50.67
GCA_038407085.1_ASM3840708v1,272712,Ceratocystis polychroma,C2240,Ascomycota,,Sordariomycetes,,Microascales,Ceratocystidaceae,Ceratocystis,Ceratocystis polychroma,2024-04-22,4.75x,SPAdes v. 3.11.1,Illumina MiSeq,haploid,Contig,,,27662308,0,0,0,0,0,0,0,0,11.29,48.78
GCA_038407155.1_ASM3840715v1,1699678,Ceratocystis tiliae,C1954,Ascomycota,,Sordariomycetes,,Microascales,Ceratocystidaceae,Ceratocystis,Ceratocystis tiliae,2024-04-22,7.3x,SPAdes v. 3.11.1,Illumina MiSeq,haploid,Contig,,,27049802,0,0,0,0,0,0,0,0,12.55,48.90
GCA_038407005.1_ASM3840700v1,3112611,Ceratocystis sp. C1944,C1944,Ascomycota,,Sordariomycetes,,Microascales,Ceratocystidaceae,Ceratocystis,Ceratocystis sp. C1944,2024-04-22,7.3x,SPAdes v. 3.11.1,Illumina MiSeq,haploid,Contig,,,29947480,0,0,0,0,0,0,0,0,12.03,48.18
GCA_038407105.1_ASM3840710v1,2029751,Ceratocystis uchidae,C1714,Ascomycota,,Sordariomycetes,,Microascales,Ceratocystidaceae,Ceratocystis,Ceratocystis uchidae,2024-04-22,17.1x,SPAdes v. 3.11.1,Illumina MiSeq,haploid,Contig,,,27543596,0,0,0,0,0,0,0,0,11.48,48.83
GCA_004802705.1_ASM480270v1,1095465,Bondarzewia mesenterica,DSM 108281,Basidiomycota,,Agaricomycetes,,Russulales,Bondarzewiaceae,Bondarzewia,Bondarzewia mesenterica,2019-04-22,40.9x,MIRA v. 4.0,IonTorrent,haploid,Scaffold,49224,1467,36721587,10523,2061.75,71141,227.73,71141,227.73,60618,88.47,6.59,48.90
GCF_033297395.1_Thiar1,2074819,Canariomyces notabilis,CBS 508.74,Ascomycota,,Sordariomycetes,,Sordariales,Chaetomiaceae,Canariomyces,Canariomyces notabilis,2023-10-26,95.8x,AllPathsLG v. R47710,Illumina,haploid,Scaffold,820646,69,30991681,11100,1765.79,30869,575.68,29760,512.79,19761,92.88,7.11,54.24
GCA_900068965.1_C_gambosa-8,56469,Calocybe gambosa,,Basidiomycota,,Agaricomycetes,,Agaricales,Lyophyllaceae,Calocybe,Calocybe gambosa,2020-07-09,50x,,,haploid,Scaffold,675,569780,59979117,0,0,0,0,0,0,0,0,19.53,45.95
GCA_038407165.1_ASM3840716v1,312342,Ceratocystis variospora,C1843,Ascomycota,,Sordariomycetes,,Microascales,Ceratocystidaceae,Ceratocystis,Ceratocystis variospora,2024-04-22,9.21x,SPAdes v. 3.11.1,Illumina MiSeq,haploid,Contig,,,27507081,0,0,0,0,0,0,0,0,12.31,48.89
GCA_038382385.1_ASM3838238v1,3111919,Ceratocystis xanthosomatis,C1780,Ascomycota,,Sordariomycetes,,Microascales,Ceratocystidaceae,Ceratocystis,Ceratocystis xanthosomatis,2024-04-18,9.9x,SPAdes v. 3.11.1,Illumina MiSeq,haploid,Contig,,,29519949,0,0,0,0,0,0,0,0,12.43,48.39
GCA_022836995.1_ASM2283699v1,132184,Cercospora apii,QCYBC,Ascomycota,,Dothideomycetes,,Mycosphaerellales,Mycosphaerellaceae,Cercospora,Cercospora apii,2022-04-08,206.7x,SOAPdenovo v. 2.04; GapCloser v. 1.12; Canu v. 1.7,Illumina NovaSeq; PacBio Sequel,haploid,Scaffold,3714677,34,34810611,0,0,0,0,0,0,0,0,8.87,51.38
GCA_022578605.1_CtCBS203_1,110548,Camillea tinctor,CBS 203.56,Ascomycota,,Sordariomycetes,,Xylariales,Xylariaceae,Camillea,Camillea tinctor,2022-03-02,129.63x,SPAdes v. 3.13.0,Illumina,haploid,Scaffold,528634,229,45006662,12035,2017.50,36040,606.73,34301,494.33,23992,100.68,15.03,46.59
GCA_030998015.1_ASM3099801v1,63189,Ceratorhiza oryzae-sativae,S57,Basidiomycota,,Agaricomycetes,,Cantharellales,Ceratobasidiaceae,Ceratorhiza,Ceratorhiza oryzae-sativae,2023-08-30,187.0x,MECAT v. 1.3,PacBio Sequel,haploid,Contig,,,48847994,0,0,0,0,0,0,0,0,16.68,48.90
GCF_030347475.1_UMN_CgA_1,51156,Cadophora gregata,MNR1,Ascomycota,,Leotiomycetes,,Helotiales,,Cadophora,Cadophora gregata,2023-06-22,100.0x,Hifiasm v. FEB-2023,PacBio Sequel,haploid,Contig,,,47765811,15026,1849.44,49513,564.67,46721,462.86,33574,75.79,10.97,46.10
GCA_005356885.1_ASM535688v1,1868926,Cercospora cf. flagellaris,Arck_07,Ascomycota,,Dothideomycetes,,Mycosphaerellales,Mycosphaerellaceae,Cercospora,Cercospora cf. flagellaris,2019-05-14,650x,SPAdes v. 3.2.1,Illumina HiSeq,haploid,Scaffold,2848694,57,33240740,0,0,0,0,0,0,0,0,6.42,52.68
GCA_005356805.1_ASM535680v1,1868927,Cercospora cf. sigesbeckiae,PP_2012_071,Ascomycota,,Dothideomycetes,,Mycosphaerellales,Mycosphaerellaceae,Cercospora,Cercospora cf. sigesbeckiae,2019-05-14,48x,SPAdes v. 3.2.1,IonTorrent,haploid,Scaffold,1308006,335,33720866,0,0,0,0,0,0,0,0,5.05,52.97
GCA_013365195.1_ASM1336519v1,1337113,Cercospora citrullina,Cerl 37-09,Ascomycota,,Dothideomycetes,,Mycosphaerellales,Mycosphaerellaceae,Cercospora,Cercospora citrullina,2020-06-22,90.0x,MaSuRCA v. 3.2.3,Illumina HiSeq,haploid,Scaffold,637436,1751,32813481,0,0,0,0,0,0,0,0,6.14,52.50
GCA_013365245.1_ASM1336524v1,1347418,Cercospora brassicicola,Cer 68-18,Ascomycota,,Dothideomycetes,,Mycosphaerellales,Mycosphaerellaceae,Cercospora,Cercospora brassicicola,2020-06-22,90.0x,MaSuRCA v. 3.2.3,Illumina HiSeq,haploid,Scaffold,17079,3123,38324398,0,0,0,0,0,0,0,0,5.88,51.90
GCA_000347735.1_C_canescens_MTCC-10836_BHU_v01,1268270,Cercospora canescens BHU,BHU,Ascomycota,,Dothideomycetes,,Mycosphaerellales,Mycosphaerellaceae,Cercospora,Cercospora canescens,2013-03-20,12.0x,Velvet v. 1.2.07,Illumina,haploid,Contig,,,33967224,0,0,0,0,0,0,0,0,7.02,52.04
GCA_026725115.1_Cjan_RL44_1.0,706553,Cercospora janseana,RL44,Ascomycota,,Dothideomycetes,,Mycosphaerellales,Mycosphaerellaceae,Cercospora,Cercospora janseana,2022-12-09,170.0x,Canu v. 2.2,Oxford Nanopore; Illumina,haploid,Chromosome,2966602,23,39075509,0,0,0,0,0,0,0,0,15.12,51.51
GCF_000585585.1_Capr_coro_CBS_617_96_V1,1182541,Capronia coronata CBS 617.96,CBS 617.96,Ascomycota,,Eurotiomycetes,,Chaetothyriales,Herpotrichiellaceae,Capronia,Capronia coronata,2014-03-05,90.0x,allpaths v. R42667,Illumina,haploid,Scaffold,3204506,11,25807613,9231,1611.76,20473,683.40,20469,682.92,11242,78.90,5.86,52.75
GCA_900000165.1_Ceraceosorus_bombacis,401625,Ceraceosorus bombacis,,Basidiomycota,,Exobasidiomycetes,,Ceraceosorales,Ceraceosoraceae,Ceraceosorus,Ceraceosorus bombacis,2015-10-18,210x,,,haploid,Scaffold,819827,485,26090089,8023,1936.72,8023,1936.72,32348,370.15,0,0,9.05,51.85
GCA_029490675.1_ASM2949067v1,29003,Cercospora nicotianae,1110,Ascomycota,,Dothideomycetes,,Mycosphaerellales,Mycosphaerellaceae,Cercospora,Cercospora nicotianae,2023-03-30,210.4x,NextDenovo v. 2.5.0,Oxford Nanopore PromethION; Illumina,haploid,Contig,,,37409360,0,0,0,0,0,0,0,0,9.59,52.68
GCA_017365405.1_ASM1736540v1,108018,Cadophora malorum,M34,Ascomycota,,Leotiomycetes,,Helotiales,,Cadophora,Cadophora malorum,2021-03-16,30.0x,SPAdes v. MAR-2020,Illumina,haploid,Contig,,,48945047,16507,1564.08,52448,434.49,52341,435.18,35941,84.31,6.50,48.01
GCA_013365235.1_ASM1336523v1,1490871,Cercospora sesami,Cers 52-10,Ascomycota,,Dothideomycetes,,Mycosphaerellales,Mycosphaerellaceae,Cercospora,Cercospora sesami,2020-06-22,90.0x,MaSuRCA v. 3.2.3,Illumina HiSeq,haploid,Scaffold,26222,1878,34336664,0,0,0,0,0,0,0,0,4.83,53.01
GCA_004299825.1_ASM429982v1,438356,Cercospora sojina,RACE15,Ascomycota,,Dothideomycetes,,Mycosphaerellales,Mycosphaerellaceae,Cercospora,Cercospora sojina,2019-02-26,150.0x,SMRT Link v. v5.0.1,PacBio RSII,haploid,Complete Genome,4908823,12,40115976,0,0,0,0,0,0,0,0,14.44,53.40
GCA_017366145.1_ASM1736614v1,2774352,Cadophora sp. M221,M221,Ascomycota,,Leotiomycetes,,Helotiales,,Cadophora,Cadophora sp. M221,2021-03-16,30.0x,SPAdes v. MAR-2020,Illumina,haploid,Contig,,,60032319,17778,1531.07,54761,436.31,54637,437.10,36983,89.95,9.53,46.43
GCA_022965775.1_ASM2296577v1,2929575,Cercospora sp. J1 LZ-2022,J1 LZ-2022,Ascomycota,,Dothideomycetes,,Mycosphaerellales,Mycosphaerellaceae,Cercospora,Cercospora sp. J1 LZ-2022,2022-04-13,100.0x,Hifiasm v. 1; SOAPdenovo v. MAY-2021,PacBio; Illumina MiSeq,haploid,Complete Genome,4109232,11,33171222,0,0,0,0,0,0,0,0,4.97,52.67
GCA_003521265.1_NYBG_CetLin_1.0,83788,Cetradonia linearis,BA2,Ascomycota,,Lecanoromycetes,,Lecanorales,Cetradoniaceae,Cetradonia,Cetradonia linearis,2018-09-10,54.7x,ABySS v. 2.0,Illumina NextSeq,haploid,Scaffold,10095,2703,19465049,0,0,0,0,0,0,0,0,4.35,48.16
GCA_023512815.1_ASM2351281v1,135779,Cercospora zeae-maydis,LN,Ascomycota,,Dothideomycetes,,Mycosphaerellales,Mycosphaerellaceae,Cercospora,Cercospora zeae-maydis,2022-05-20,99.73x,FALCON v. NECAT,Oxford Nanopore,haploid,Contig,,,45086787,0,0,0,0,0,0,0,0,26.75,47.95
GCA_022702355.1_ASM2270235v1,348901,Cercospora zeina,YN,Ascomycota,,Dothideomycetes,,Mycosphaerellales,Mycosphaerellaceae,Cercospora,Cercospora zeina,2022-03-28,99.94x,FALCON v. NECAT,Oxford Nanopore,haploid,Contig,,,42187863,0,0,0,0,0,0,0,0,25.96,47.96
GCA_001630345.1_Calvi1,1330018,Calocera viscosa TUFC12733,TUFC12733,Basidiomycota,,Dacrymycetes,,Dacrymycetales,Dacrymycetaceae,Calocera,Calocera viscosa,2016-04-25,95.3x,Allpaths-LG v. R44849,Illumina,haploid,Scaffold,470396,214,29097227,12418,1650.18,56814,312.06,55535,275.80,44388,62.49,8.20,55.85
GCA_023628455.1_ASM2362845v1,2939515,Chaetomiaceae sp. B2702,B2702,Ascomycota,,Sordariomycetes,,Sordariales,Chaetomiaceae,,Chaetomiaceae sp. B2702,2022-06-01,201x,SPAdes v. 3.14.102,Illumina HiSeq,haploid,Scaffold,440293,143,31915486,0,0,0,0,0,0,0,0,9.32,55.60
GCA_040369945.1_JCM_9995_assembly_v001,241714,Chaetomella raphigera,JCM 9995,Ascomycota,,Leotiomycetes,,Chaetomellales,Chaetomellaceae,Chaetomella,Chaetomella raphigera,2024-04-04,241x,ALLPATHS-LG v. 52488,HiSeq 2500,haploid,Scaffold,3014579,12,30466566,0,0,0,0,0,0,0,0,6.86,50.25
GCF_000585565.1_Capr_epim_CBS_606_96_V1,1182542,Capronia epimyces CBS 606.96,CBS 606.96,Ascomycota,,Eurotiomycetes,,Chaetothyriales,Herpotrichiellaceae,Capronia,Capronia epimyces,2014-03-05,83.0x,allpaths v. R42667,Illumina,haploid,Scaffold,3720060,18,28889638,10469,1592.34,24167,641.19,24161,640.80,13698,85.74,8.17,53.15
GCA_023628475.1_ASM2362847v1,2939516,Chaetomiaceae sp. PF1801,PF1801,Ascomycota,,Sordariomycetes,,Sordariales,Chaetomiaceae,,Chaetomiaceae sp. PF1801,2022-06-01,202x,SPAdes v. 3.14.103,Illumina HiSeq,haploid,Scaffold,260105,332,32233358,0,0,0,0,0,0,0,0,10.81,57.51
GCA_001969225.1_ASM196922v1,1149723,Ceriporiopsis andreanae CBS 279.92,CBS 279.92,Basidiomycota,,Agaricomycetes,,Polyporales,Meruliaceae,Ceriporiopsis,Ceriporiopsis andreanae,2017-01-23,319x,"Clc ""assembly cell"" v. Unknown",Illumina HiSEQ 200,haploid,Contig,,,43152531,0,0,0,0,0,0,0,0,7.73,54.51
