ASM_ACCESSION,NCBI_TAXID,SPECIES_IN,STRAIN,PHYLUM,SUBPHYLUM,CLASS,SUBCLASS,ORDER,FAMILY,GENUS,SPECIES
GCF_002846915.1_Aspergillus_ochraceoroseus_IBT_24754_v1.1,138278,Aspergillus ochraceoroseus,IBT 24754,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus ochraceoroseus
GCA_004849945.1_AoFc,40380,Aspergillus ochraceus,fc-1,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus ochraceus
GCA_014250555.1_ASM1425055v1,1774284,Aspergillus oerlinghausenensis,CBS 139183,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus oerlinghausenensis
GCA_003719415.1_ASM371941v1,2184023,Aspergillus olivimuriae,NRRL 66783,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus olivimuriae
GCF_000184455.2_ASM18445v3,5062,Aspergillus oryzae,RIB40,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus oryzae
GCA_013145995.1_ASM1314599v1,5067,Aspergillus parasiticus,E1365,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus parasiticus
GCA_002215965.1_ASM221596v1,306094,Aspergillus persii,NIBRFGC000004109,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus persii
GCA_003344505.1_Aspph1,5063,Aspergillus phoenicis,ATCC 13157,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus phoenicis
GCF_003184755.1_Asppip1,319630,Aspergillus piperis,CBS 112811,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus piperis
GCA_021436995.1_ASM2143699v1,469277,Aspergillus protuberus,HOSP050413_4_129,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus protuberus
GCA_009193665.1_Asppsec1,1825620,Aspergillus pseudocaelatus,CBS 117616,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus pseudocaelatus
GCA_022813405.1_ASM2281340v1,1405805,Aspergillus pseudoglaucus,FJII-L3-SW-P1,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus pseudoglaucus
GCF_009193645.1_Asppsen1,1506151,Aspergillus pseudonomiae,CBS 119388,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus pseudonomius
GCF_009193445.1_Asppset1,132259,Aspergillus pseudotamarii,CBS 117625,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus pseudotamarii
GCA_002927005.1_ASM292700v1,1565506,Aspergillus pseudoterreus,ATCC 32359,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus pseudoterreus
GCF_018340605.1_Asppvi_assembly01,1517512,Aspergillus pseudoviridinutans,IFM 55266,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus pseudoviridinutans
GCF_016861865.1_ApuulaauensisMK2_assembly01,1220207,Aspergillus puulaauensis,MK2,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus puulaauensis
GCA_022814375.1_ASM2281437v1,41053,Aspergillus quadricinctus,FKII-L3-BK-DRAB1,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus quadricinctus
GCA_013305525.1_ASM1330552v1,41735,Aspergillus quadrilineatus,NRRL 201,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus quadrilineatus
GCA_000986645.1_ASM98664v1,308745,Aspergillus rambellii,SRRC1468,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus rambellii
GCF_000600275.1_Eurhe1,396024,Aspergillus ruber,CBS 135680,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus ruber
GCF_003184585.1_Aspsac1,979771,Aspergillus saccharolyticus,JOP 1030-1,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus saccharolyticus
GCA_003589665.1_phiScl_1.0,2070753,Aspergillus sclerotialis,CBS 366.77,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus sclerotialis
GCA_003184635.1_Aspscle1,487660,Aspergillus sclerotiicarbonarius,CBS 121057,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus sclerotiicarbonarius
GCF_003184525.1_Aspscl1,319627,Aspergillus sclerotioniger,CBS 115572,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus sclerotioniger
GCA_000530345.1_HBR18v1,138282,Aspergillus sclerotiorum,HBR18,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus sclerotiorum
GCA_009193525.1_Aspser1,1034303,Aspergillus sergii,CBS 130017,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus sergii
GCA_008274985.1_ASM827498v1,41058,Aspergillus sojae,SMF134,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus sojae
GCA_019976455.1_ASM1997645v1,2894562,Aspergillus sp. 'subgen. Cremei',IBT 35662,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus sp. 'subgen. Cremei'
GCA_016880755.1_ASM1688075v1,2681688,Aspergillus sp. 2663,2663,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus sp. 2663
GCA_023625275.1_ASM2362527v1,2940428,Aspergillus sp. 2NF922,2NF922
GCA_023625115.1_ASM2362511v1,2940435,Aspergillus sp. 2NF923,2NF923
GCA_023625195.1_ASM2362519v1,2940433,Aspergillus sp. 2NF925,2NF925
GCA_016162245.1_ASM1616224v1,2609453,Aspergillus sp. A31,A31,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus sp. A31
GCA_020615375.1_CIT_ADI_1,2862157,Aspergillus sp. ADI1,ADI1,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus sp. ADI1
GCA_002894705.1_ASM289470v1,2715684,Aspergillus sp. ATCC 12892,ATCC 12892,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus sp. ATCC 12892
GCA_023625155.1_ASM2362515v1,2940430,Aspergillus sp. B3601,B3601
GCA_023625035.1_ASM2362503v1,2940439,Aspergillus sp. B3605,B3605
GCA_023619735.1_ASM2361973v1,2940397,Aspergillus sp. F3601,F3601
GCA_023627655.1_ASM2362765v1,2940329,Aspergillus sp. F3603,S1902Y
GCA_023619485.1_ASM2361948v1,2940409,Aspergillus sp. F3604,F3604
GCA_023619445.1_ASM2361944v1,2940411,Aspergillus sp. F3605,F3605
GCA_019176365.1_ASM1917636v1,2824782,Aspergillus sp. GbtcF1,GbtcF1
GCA_019176375.1_ASM1917637v1,2824783,Aspergillus sp. GbtcF2,GbtcF2
GCA_003698115.1_ASM369811v1,1960876,Aspergillus sp. HF37,HF37,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus sp. HF37
GCA_019775315.1_ASM1977531v1,2756248,Aspergillus sp. JS3-R5,JS3-R5
GCA_023619345.1_ASM2361934v1,2940416,Aspergillus sp. M3605,M3605
GCA_023619275.1_ASM2361927v1,2940420,Aspergillus sp. M3606,M3606
GCA_003138035.1_ASM313803v1,2153246,Aspergillus sp. MA 6037,MA 6037,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus sp. MA 6037
GCA_003138005.1_ASM313800v1,2153248,Aspergillus sp. MA 6041,MA 6041,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus sp. MA 6041
GCA_018167545.1_ASM1816754v1,2821745,Aspergillus sp. MCCF 102,MCCF 102
GCA_019721355.1_Asp_MEXU27854_1.0,2801328,Aspergillus sp. MEXU 27854,MEXU 27854
GCA_023619705.1_ASM2361970v1,2940399,Aspergillus sp. PA2101,PA2101
GCA_023624935.1_ASM2362493v1,2940440,Aspergillus sp. PA3604,PA3604
GCA_023618985.1_ASM2361898v1,2940422,Aspergillus sp. PA40-03,PA40-03
GCA_023619755.1_ASM2361975v1,2940396,Aspergillus sp. PB2407,PB2407
GCA_023619575.1_ASM2361957v1,2940404,Aspergillus sp. PB4102,PB4102
GCA_023618955.1_ASM2361895v1,2940424,Aspergillus sp. PB4105,PB4105
GCA_023619455.1_ASM2361945v1,2940410,Aspergillus sp. PB4106,PB4106
GCA_023619615.1_ASM2361961v1,2940402,Aspergillus sp. PG3603,PG3603
GCA_023625635.1_ASM2362563v1,2940388,Aspergillus sp. PG3605,2NP920
GCA_023625255.1_ASM2362525v1,2940427,Aspergillus sp. PG3606C,PG3606C
GCA_023619545.1_ASM2361954v1,2940406,Aspergillus sp. PG3606D,PG3606D
GCA_023619555.1_ASM2361955v1,2940405,Aspergillus sp. PG3608,PG3608
GCA_023619285.1_ASM2361928v1,2940419,Aspergillus sp. PH2503,PH2503
GCA_023618865.1_ASM2361886v1,2940425,Aspergillus sp. PH3601,PH3601
GCA_023619325.1_ASM2361932v1,2940417,Aspergillus sp. PK2410,PK2410
GCA_023625295.1_ASM2362529v1,2940426,Aspergillus sp. PM3601,PM3601
GCA_023618995.1_ASM2361899v1,2940421,Aspergillus sp. PM3602,PM3602
GCA_023619375.1_ASM2361937v1,2940414,Aspergillus sp. PYS2105,PYS2105
GCA_023627435.1_ASM2362743v1,2940339,Aspergillus sp. PYS4201,S3505
GCA_023627495.1_ASM2362749v1,2940335,Aspergillus sp. PYS4240,S1802E
GCA_023627515.1_ASM2362751v1,2940336,Aspergillus sp. PYS4241,PYS4240
GCA_023625135.1_ASM2362513v1,2940437,Aspergillus sp. R1430,R1430
GCA_023627595.1_ASM2362759v1,2940333,Aspergillus sp. R2302,R2407
GCA_023627615.1_ASM2362761v1,2940331,Aspergillus sp. R2305,R3607
GCA_023627575.1_ASM2362757v1,2940332,Aspergillus sp. R2407,R2305
GCA_023627395.1_ASM2362739v1,2940341,Aspergillus sp. R2504,S1107B
GCA_023625075.1_ASM2362507v1,2940434,Aspergillus sp. R2506,R2506
GCA_023619725.1_ASM2361972v1,2940398,Aspergillus sp. R2804,R2804
GCA_023618935.1_ASM2361893v1,2940423,Aspergillus sp. R3602,R3602
GCA_023627635.1_ASM2362763v1,2940330,Aspergillus sp. R3607,F3603
GCA_023627455.1_ASM2362745v1,2940340,Aspergillus sp. S1107B,PYS4201
GCA_023619415.1_ASM2361941v1,2940412,Aspergillus sp. S1702,S1702
GCA_023627555.1_ASM2362755v1,2940337,Aspergillus sp. S1801,PYS4241
GCA_023627535.1_ASM2362753v1,2940334,Aspergillus sp. S1802E,R2302
GCA_023627675.1_ASM2362767v1,2940328,Aspergillus sp. S1902Y,PM3604
GCA_023619515.1_ASM2361951v1,2940407,Aspergillus sp. S1903S,S1903S
GCA_023619655.1_ASM2361965v1,2940400,Aspergillus sp. S1905,S1905
GCA_023625215.1_ASM2362521v1,2940432,Aspergillus sp. S2101G,S2101G
GCA_023619405.1_ASM2361940v1,2940413,Aspergillus sp. S2103,S2103
GCA_023619605.1_ASM2361960v1,2940403,Aspergillus sp. S2105,S2105
GCA_023619645.1_ASM2361964v1,2940401,Aspergillus sp. S2109,S2109
GCA_023625175.1_ASM2362517v1,2940431,Aspergillus sp. S2111G.1,S2111G.1
GCA_023625095.1_ASM2362509v1,2940436,Aspergillus sp. S2111Y,S2111Y
GCA_023627695.1_ASM2362769v1,2940326,Aspergillus sp. S2805,S2805
GCA_023627475.1_ASM2362747v1,2940338,Aspergillus sp. S3505,S1801
GCA_023625055.1_ASM2362505v1,2940438,Aspergillus sp. S3602,S3602
GCA_023625235.1_ASM2362523v1,2940429,Aspergillus sp. S3605,S3605
GCA_023619495.1_ASM2361949v1,2940408,Aspergillus sp. S3606,S3606
GCA_023619365.1_ASM2361936v1,2940415,Aspergillus sp. S4401N,S4401N
GCA_023619295.1_ASM2361929v1,2940418,Aspergillus sp. S4402,S4402
GCA_001044295.1_ASM104429v1,1662659,Aspergillus sp. Z5,Z5,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus sp. Z5
GCA_003574815.1_ASM357481v1,1810908,Aspergillus spinulosporus,NRRL 2395,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus spinulosporus
GCF_002849105.1_Aspste1,306088,Aspergillus steynii,IBT 23096,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus steynii
GCF_001890705.1_Aspsy1,75750,Aspergillus sydowii,CBS 593.65,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus sydowii
GCA_002850765.1_Asptaic1,482145,Aspergillus taichungensis,IBT 19404,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus taichungensis
GCA_023619995.1_ASM2361999v1,41984,Aspergillus tamarii,PB2201,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus tamarii
GCF_003426965.1_ASM342696v1,1220188,Aspergillus tanneri,NIH1004,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus tanneri
GCF_000149615.1_ASM14961v1,33178,Aspergillus terreus,NIH2624,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus terreus
GCF_002237265.1_ASM223726v2,41047,Aspergillus thermomutatus,HMR AF 39,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus thermomutatus
GCA_009193505.1_Asptra1,1034304,Aspergillus transmontanensis,CBS 130015,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus transmontanensis
GCA_023619815.1_ASM2361981v1,478866,Aspergillus tritici,S2209,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus tritici
GCF_013340325.1_ASM1334032v1,5068,Aspergillus tubingensis,WU-2223L,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus tubingensis
GCA_002234965.2_ASM223496v2,1245748,Aspergillus turcosus,HMR AF 23,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus turcosus
GCF_001078395.1_Aud_assembly02,91492,Aspergillus udagawae,IFM 46973,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus udagawae
GCA_018408605.1_ASM1840860v1,40381,Aspergillus unguis,F6_8S_P_4A,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus unguis
GCA_000812125.1_Austus1.0,40382,Aspergillus ustus,3.3904,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus ustus
GCF_003184745.1_Aspuva1,446911,Aspergillus uvarum,CBS 121591,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus uvarum
GCF_003184925.1_Aspvad1,288669,Aspergillus vadensis,CBS 113365,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus vadensis
GCF_001890125.1_Aspve1,46472,Aspergillus versicolor,CBS 583.65,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus versicolor
GCA_003184705.1_Aspvio1,657443,Aspergillus violaceofuscus,CBS 115571,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus violaceofuscus
GCF_018404265.1_Aspvir_assembly01,75553,Aspergillus viridinutans,IFM 47045,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus viridinutans
GCF_003344945.1_Aspwel1,1341132,Aspergillus welwitschiae,CBS 139.54b,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus welwitschiae
GCF_001890725.1_Aspwe1,5066,Aspergillus wentii,DTO 134E9,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus wentii
GCA_019976475.1_ASM1997647v1,357447,Aspergillus westerdijkiae,IBT 35663,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus westerdijkiae
GCF_000002855.3_ASM285v2,5061,AspergillusnigerCBS513.88,,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus niger
GCA_018850815.1_ASM1885081v1,117017,Asterophora lycoperdoides,D37,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Lyophyllaceae,Asterophora,Asterophora lycoperdoides
GCA_018282005.1_ASM1828200v1,117018,Asterophora parasitica,AP01,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Lyophyllaceae,Asterophora,Asterophora parasitica
GCA_016618355.2_ASM1661835v2,265491,Astraeus odoratus,MTA1-3,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Boletales,Astraeaceae,Astraeus,Astraeus odoratus
GCA_022453515.1_Astsub1,743114,Astrocystis sublimbata,CBS 130006,Ascomycota,Pezizomycotina,Sordariomycetes,Xylariomycetidae,Xylariales,Xylariaceae,Astrocystis,Astrocystis sublimbata
GCA_021030915.1_ASM2103091v1,1808323,Astrothelium macrocarpum,NSR6,Ascomycota,Pezizomycotina,Dothideomycetes,,Trypetheliales,Trypetheliaceae,Astrothelium,Astrothelium macrocarpum
GCA_021030935.1_ASM2103093v1,2820137,Astrothelium subdiscretum,UBN165,Ascomycota,Pezizomycotina,Dothideomycetes,,Trypetheliales,Trypetheliaceae,Astrothelium,Astrothelium subdiscretum
GCA_018343915.1_ASM1834391v1,39291,Athelia rolfsii,GP3,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Atheliales,Atheliaceae,Athelia,Athelia rolfsii
GCA_014898675.1_191101_athtb5_1.0,2748771,Athelia sp. TMB,TMB,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Atheliales,Atheliaceae,Athelia,Athelia sp. TMB
GCA_000729835.1_AhypB4728v1,47741,Atkinsonella hypoxylon,B4728,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Hypocreales,Clavicipitaceae,Atkinsonella,Atkinsonella hypoxylon
GCA_001008035.1_Atex_B6155_v1,51582,Atkinsonella texensis,B6155,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Hypocreales,Clavicipitaceae,Atkinsonella,Atkinsonella texensis
GCA_021432655.1_Atrsp2,1938712,Atractiella rhizophila,PMI 95,Basidiomycota,Pucciniomycotina,Atractiellomycetes,,Atractiellales,Hoehnelomycetaceae,Atractiella,Atractiella rhizophila
GCA_010015705.1_Aulhe2,1176130,Aulographum hederae,CBS 113979,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporomycetidae,Aulographales,Aulographaceae,Aulographum,Aulographum hederae
GCA_019775405.1_ASM1977540v1,1093200,Aureobasidium leucospermi,VS I D KN 2,Ascomycota,Pezizomycotina,Dothideomycetes,Dothideomycetidae,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium leucospermi
GCA_022813425.1_ASM2281342v1,1836197,Aureobasidium lini,FJII-L3-CM-P3,Ascomycota,Pezizomycotina,Dothideomycetes,Dothideomycetidae,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium lini
GCA_021014315.1_SQU_Amang_1.1,2895399,Aureobasidium mangrovei,SARA-138H,Ascomycota,Pezizomycotina,Dothideomycetes,Dothideomycetidae,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium mangrovei
GCF_000721775.1_Aureobasidium_pullulans_var._melanogenum_CBS_110374_v1.0,46634,Aureobasidium melanogenum,CBS 110374,Ascomycota,Pezizomycotina,Dothideomycetes,Dothideomycetidae,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium melanogenum
GCA_903819665.1_AWRI4233,2773714,Aureobasidium mustum,,Ascomycota,Pezizomycotina,Dothideomycetes,Dothideomycetidae,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium mustum
GCF_000721765.1_Aureobasidium_pullulans_var._namibiae_CBS_147.97_v1.0,559561,Aureobasidium namibiae,CBS 147.97,Ascomycota,Pezizomycotina,Dothideomycetes,Dothideomycetidae,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium namibiae
GCF_000721785.1_Aureobasidium_pullulans_var._pullulans_EXF-150_assembly_version_1.0,5580,Aureobasidium pullulans,EXF-150,Ascomycota,Pezizomycotina,Dothideomycetes,Dothideomycetidae,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium pullulans
GCA_023848595.1_ASM2384859v1,2894284,Aureobasidium sp. EXF-10727,EXF-10727,Ascomycota,Pezizomycotina,Dothideomycetes,Dothideomycetidae,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium sp. EXF-10727
GCA_023848605.1_ASM2384860v1,2894285,Aureobasidium sp. EXF-10728,EXF-10728,Ascomycota,Pezizomycotina,Dothideomycetes,Dothideomycetidae,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium sp. EXF-10728
GCA_024195555.1_ASM2419555v1,2894281,Aureobasidium sp. EXF-12298,EXF-12298,Ascomycota,Pezizomycotina,Dothideomycetes,Dothideomycetidae,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium sp. EXF-12298
GCA_024195545.1_ASM2419554v1,2894282,Aureobasidium sp. EXF-12344,EXF-12344,Ascomycota,Pezizomycotina,Dothideomycetes,Dothideomycetidae,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium sp. EXF-12344
GCA_019924955.1_ASM1992495v1,2831173,Aureobasidium sp. EXF-3399,EXF-3399
GCA_024195585.1_ASM2419558v1,2894283,Aureobasidium sp. EXF-3400,EXF-3400,Ascomycota,Pezizomycotina,Dothideomycetes,Dothideomycetidae,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium sp. EXF-3400
GCA_024195465.1_ASM2419546v1,2894279,Aureobasidium sp. EXF-8845,EXF-8845,Ascomycota,Pezizomycotina,Dothideomycetes,Dothideomycetidae,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium sp. EXF-8845
GCA_024195485.1_ASM2419548v1,2894280,Aureobasidium sp. EXF-8846,EXF-8846,Ascomycota,Pezizomycotina,Dothideomycetes,Dothideomycetidae,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium sp. EXF-8846
GCA_001914275.1_FSWF8-bin-4,1928478,Aureobasidium sp. FSWF8-4,FSWF8-4,Ascomycota,Pezizomycotina,Dothideomycetes,Dothideomycetidae,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium sp. FSWF8-4
GCA_003992365.1_ASM399236v1,1771980,Aureobasidium sp. P6,P6,Ascomycota,Pezizomycotina,Dothideomycetes,Dothideomycetidae,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium sp. P6
GCA_019677095.1_ASM1967709v1,2850881,Aureobasidium sp. SLJ-2021a,XJ5-1
GCA_022575945.1_ASM2257594v1,2918936,Aureobasidium sp. TD-062,TD-062,Ascomycota,Pezizomycotina,Dothideomycetes,Dothideomycetidae,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium sp. TD-062
GCF_000721755.1_Aureobasidium_pullulans_var._subglaciale_EXF-2481_v1.0,1042127,Aureobasidium subglaciale,EXF-2481,Ascomycota,Pezizomycotina,Dothideomycetes,Dothideomycetidae,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium subglaciale
GCA_903853725.1_AWRI4620,2773716,Aureobasidium uvarum,,Ascomycota,Pezizomycotina,Dothideomycetes,Dothideomycetidae,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium uvarum
GCA_903819635.1_AWRI4619,2773715,Aureobasidium vineae,,Ascomycota,Pezizomycotina,Dothideomycetes,Dothideomycetidae,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium vineae
GCA_017580825.2_ASM1758082v2,1592451,Aureobasidium zeae,KZ1,Ascomycota,Pezizomycotina,Dothideomycetes,Dothideomycetidae,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium zeae
GCA_002092955.1_ASM209295v1,29892,Auricularia auricula-judae,B14-8,Basidiomycota,Agaricomycotina,Agaricomycetes,,Auriculariales,Auriculariaceae,Auricularia,Auricularia auricula-judae
GCA_008368385.1_ASM836838v1,1238391,Auricularia cornea,CCMJ2827,Basidiomycota,Agaricomycotina,Agaricomycetes,,Auriculariales,Auriculariaceae,Auricularia,Auricularia cornea
