ACCESSION,SPECIES,STRAIN,NCBI_TAXID,BIOPROJECT,ASM_LENGTH,N50,ASM_NAME
GCA_007388105.1,Coniochaeta prunicola,STE-U 6107,744408,0;2;3;5;6;8;A;J;N;P;PRJNA526083;R,33145903,180953,STR0027789
GCA_003635345.1,Coniochaeta pulveracea,CAB683,177199,3;4;7;8;9;A;J;N;P;PRJNA473398;R,30020651,279076,ASM363534v1
GCA_009194965.1,Coniochaeta sp. 2T2.1,2T2.1,1571157,0;2;5;9;A;J;N;P;PRJNA250595;R,74351065,2673199,Conioc1
GCA_023628855.1,Coniochaeta sp. PK30-01,PK30-01,2939518,1;2;3;8;A;J;N;P;PRJNA833221;R,33979487,247873,ASM2362885v1
GCA_021432605.1,Coniochaeta sp. PMI_546,PMI_546,1450552,2;3;4;6;7;8;A;J;N;P;PRJNA234867;R,33513814,709162,ConPMI546
GCA_023628895.1,Coniochaeta sp. PT30-03-2,PT30-03-2,2939519,1;2;3;8;A;J;N;P;PRJNA833221;R,33967495,157769,ASM2362889v1
GCF_000271625.1,Coniophora puteana RWD-64-598 SS2,RWD-64-598 SS2,741705,3;5;7;9;A;J;N;P;PRJNA53977;R,42968544,216344,Conpu1
GCF_000281105.1,Coniosporium apollinis CBS 100218,CBS 100218,1168221,0;1;5;6;7;A;J;N;P;PRJNA157061;PRJNA167910;PRJNA175043;R,28645321,339767,Coni_apol_CBS100218 _V1
GCA_033119265.1,Coniosporium uncinatum,CCFEE 5737,93489,3;4;6;A;J;N;P;PRJNA666634;R,35445124,3381,ASM3311926v1
GCA_025742365.1,Coniothyrium glycines,Pg-43,1077358,0;1;4;6;8;9;A;J;N;P;PRJNA849601;R,31173241,828248,Cglycines_Pg-43
GCA_032433595.1,Conoideocrella luteorostrata,ARSEF 14590,1105319,0;3;8;9;A;J;N;P;PRJNA980380;R,47385771,107081,UCR_Cluteorostrata_1.0
GCA_027627275.1,Coprinellus aureogranulatus,MPG-14N,752674,0;2;4;5;8;A;J;N;P;PRJNA858204;R,58242426,16601,Coprinellus_aureogranulatus_MPG-14n_reassembly
GCA_951394405.1,Coprinellus micaceus,,71717,0;2;6;8;B;E;J;P;PRJEB40665;PRJEB43510;PRJEB58952;PRJEB62080;PRJNA533106;R,51963485,1016946,gfCopMica1.1
GCF_000182895.1,Coprinopsis cinerea okayama7#130,okayama7#130,240176,1;4;7;A;J;N;P;PRJNA1447;PRJNA176382;R,36150142,3468139,CC3
GCA_004369085.1,Coprinopsis marcescibilis,CBS 121175,230819,2;3;4;7;8;A;J;N;P;PRJNA247837;R,38912666,87079,Copmar1
GCA_020736565.1,Coprinopsis sp. MPI-PUGE-AT-0042,MPI-PUGE-AT-0042,2826081,0;2;3;4;7;A;J;N;P;PRJNA347200;R,121013029,607084,Copph3
GCA_900156845.1,Coprinopsis strossmayeri,,76940,1;6;7;8;B;E;J;P;PRJEB18786;R,33316483,167374,ASM90015684v1
GCA_003316025.1,Coprinus comatus,MG80,56187,2;4;5;7;A;J;N;P;PRJNA454572;R,30625501,17206,ASM331602v1
GCA_030685235.1,Copromyces sp. CBS 386.78,CBS 386.78,252197,0;3;5;7;8;9;A;J;N;P;PRJNA953078;R,50044663,196987,CopCBS38678_1
GCA_028828415.1,Cordyceps cateniannulata,FRD 24,983339,1;3;6;8;9;A;J;N;P;PRJNA899136;R,33634538,4260819,ASM2882841v1
GCA_002968875.1,Cordyceps cicadae,CC02,218633,1;2;3;7;A;J;N;P;PRJNA313127;R,34107548,47316,ASM296887v1
GCA_030779685.1,Cordyceps farinosa,MBC 401,89141,0;3;7;8;9;A;J;N;P;PRJNA879330;R,34242055,172760,ASM3077968v1
GCF_001636725.1,Cordyceps fumosorosea ARSEF 2679,ARSEF 2679,1081104,2;3;7;A;J;N;P;PRJNA72737;R,33485962,201388,ISF 1.0
GCA_006981975.1,Cordyceps javanica,IJ2G,43265,2;5;7;8;9;A;J;N;P;PRJNA528795;R,34972450,127247,ASM698197v1
GCF_000225605.1,Cordyceps militaris CM01,CM01,983644,1;2;4;9;A;J;N;P;PRJNA41129;R,32268578,108187,CmilitarisCM01_v01
GCA_003025255.1,Cordyceps pruinosa,KACC 44470,129524,1;3;4;5;7;A;J;N;P;PRJNA314175;R,36697038,14628,ASM302525v1
GCA_002591385.1,Cordyceps sp. RAO-2017,1346,2004951,3;6;8;9;A;J;N;P;PRJNA388689;R,32302071,15692,Hirsu2
GCA_025583755.1,Cordyceps tenuipes,YF17002,45847,0;5;7;8;A;J;N;P;PRJNA875507;R,29952861,140681,ASM2558375v1
GCA_019137255.1,Corinectria fuckeliana,CBS 125109,930093,1;3;5;7;9;A;J;N;P;PRJNA593731;R,42250300,252645,ASM1913725v1
GCA_020543525.1,Coriolopsis trogii,Ct001,76130,1;3;4;7;A;J;N;P;PRJNA747173;PRJNA750075;R,38805391,2526847,Ct001_29
GCA_033296725.1,Corynascus novoguineensis,CBS 359.72,1126955,0;1;2;4;7;A;J;N;P;PRJNA441720;R,32248778,112129,Corno1
GCA_022059125.1,Corynespora cassiicola,ZM170522,59586,4;5;6;7;9;A;J;N;P;PRJNA694745;R,44422666,3853682,ASM2205912v1
GCA_019202945.1,Corynespora olivacea,CBS 114450,132096,1;2;4;5;6;7;A;J;N;P;PRJNA721456;R,34047820,82380,ASM1920294v1
GCA_014925845.1,Crassisporium funariophilum,CBS 144457,1954473,0;1;3;7;A;J;N;P;PRJNA370017;R,37117181,2159954,Crafun1
GCA_001179765.1,Crepidotus sp. BD-2015,,1617101,0;5;7;8;B;E;J;P;PRJEB8570;R,70257325,649,Mycena-l100.fa
GCA_015657495.1,Crepidotus variabilis,CBS 506.95,179855,0;1;3;4;A;J;N;P;PRJNA410303;R,38577924,114686,Crevar1
GCA_030581755.1,Crinitomyces ghanaensis,NRRL YB-1486T,135453,2;3;4;6;7;A;J;N;P;PRJNA736342;R,12420119,164507,ASM3058175v1
GCA_021029105.1,Cristinia sonorae,KKN 215,1940300,1;3;6;A;J;N;P;PRJNA363661;R,30130434,648076,Crison1
GCA_000464975.1,Cronartium comandrae C4,C4,1301515,0;1;2;3;8;9;A;J;N;P;PRJNA190832;R,68605838,1741,Cron_com_1.0
GCA_015951145.1,Cronartium quercuum f. sp. fusiforme G11,G11,708437,1;3;6;7;A;J;N;P;PRJNA67371;R,76567842,10111,Croqu1
GCA_000500245.1,Cronartium ribicola 11-2,11-2,1301521,0;1;2;8;9;A;J;N;P;PRJNA190829;R,94332870,3099,Cro_ribi_1.0
GCA_004379715.1,Crucibulum laeve,CBS 166.37,68775,3;5;8;A;J;N;P;PRJNA333385;R,44728771,93480,Crula1
GCA_000504465.1,Cryomyces antarcticus CCFEE 534,CCFEE 534,1323836,0;2;6;8;A;J;N;P;PRJNA222806;R,24323699,4762,CryAan1.0
GCA_005059845.1,Cryomyces minteri,CCFEE 5187,331657,2;3;4;8;A;J;N;P;PRJNA342238;R,44136976,16001,ASM505984v1
GCA_014849955.1,Cryphonectria carpinicola,CS3,2725329,1;4;6;8;9;A;J;N;P;PRJNA644891;R,42233586,38478,ASM1484995v1
GCA_014851275.1,Cryphonectria japonica,M9249,2093782,1;4;6;8;9;A;J;N;P;PRJNA644891;R,38524611,418668,ASM1485127v1
GCA_004802535.1,Cryphonectria macrospora,CBS 109764,179775,2;6;7;9;A;J;N;P;PRJNA279967;R,38760060,277472,ASM480253v1
GCA_014850475.1,Cryphonectria naterciae,M3664,1208917,1;4;6;8;9;A;J;N;P;PRJNA644891;R,39566638,54399,ASM1485047v1
GCA_006503525.1,Cryphonectria nitschkei,CBS 109758,187221,2;6;7;9;A;J;N;P;PRJNA279969;R,38826615,285039,ASM650352v1
GCF_011745365.1,Cryphonectria parasitica EP155,EP155,660469,0;2;4;7;8;A;J;N;P;PRJNA207842;R,43870411,4041104,Crypa2
GCA_014849355.1,Cryphonectria radicalis,M283,40262,1;4;6;8;9;A;J;N;P;PRJNA644891;R,40556870,207041,ASM1484935v1
GCF_001720205.1,Cryptococcus amylolentus CBS 6039,CBS 6039,1295533,0;1;2;5;7;A;J;N;P;PRJNA174567;PRJNA176382;PRJNA200571;R,20254996,1273107,Cryp_amyl_CBS6039_V3
GCA_009650685.1,Cryptococcus cf. gattii,MF34,2011032,0;2;4;7;8;A;J;N;P;PRJNA487802;R,17886378,1323151,Cryp_gatt_MF34
GCA_001720245.1,Cryptococcus depauperatus CBS 7855,CBS 7855,1295532,0;2;3;5;7;A;J;N;P;PRJNA174567;PRJNA176382;PRJNA200573;R,15656276,544321,Filo_depa_CBS7855_V2
GCA_006352305.1,Cryptococcus floricola,DSM 27421,2591691,4;6;9;A;J;N;P;PRJNA496466;R,21699837,1629715,ASM635230v1
GCA_000855695.1,Cryptococcus gattii CA1873,CA1873,1296111,1;3;9;A;J;N;P;PRJNA174567;PRJNA176382;PRJNA191333;PRJNA291740;R,17438253,396667,Cryp_gatt_CA1873_V1
GCA_002954075.1,Cryptococcus gattii VGII R265,R265,294750,2;3;5;6;8;9;A;J;N;P;PRJNA395628;R,17550122,1316417,C. deuterogattii_R265_chr
GCA_000835755.1,Cryptococcus gattii VGIV IND107,IND107,1296105,1;2;3;7;9;A;J;N;P;PRJNA174567;PRJNA176382;PRJNA191327;PRJNA291740;R,17649378,403914,Cryp_gatt_IND107_V2
GCF_000185945.1,Cryptococcus gattii WM276,WM276,367775,1;2;3;6;9;A;J;N;P;PRJNA13692;R,18374760,1265488,ASM18594v1
GCA_006992865.1,Cryptococcus neoformans AD hybrid,CBS 132,192011,4;5;7;8;9;A;J;N;P;PRJNA477598;PRJNA608517;R,27181434,110133,ASM699286v1
GCF_000091045.1,Cryptococcus neoformans var. neoformans JEC21,JEC21,214684,1;3;5;6;8;A;J;N;P;PRJNA13856;R,19051922,1076541,ASM9104v1
GCA_026538415.1,Cryptococcus sp. GC_Crypt_1,GC_Crypt_1,2937428,0;2;7;8;A;J;N;P;PRJNA807720;R,16875942,13696,ASM2653841v1
GCA_026538405.1,Cryptococcus sp. GC_Crypt_2,GC_Crypt_2,2937427,0;2;7;8;A;J;N;P;PRJNA807720;R,17327004,207403,ASM2653840v1
GCA_026538395.1,Cryptococcus sp. GC_Crypt_3,GC_Crypt_3,2937426,0;2;7;8;A;J;N;P;PRJNA807720;R,19880534,88311,ASM2653839v1
GCA_026538345.1,Cryptococcus sp. GC_Crypt_4,GC_Crypt_4,2937425,0;2;7;8;A;J;N;P;PRJNA807720;R,14299923,13451,ASM2653834v1
GCA_026538355.1,Cryptococcus sp. GC_Crypt_5,GC_Crypt_5,2937424,0;2;7;8;A;J;N;P;PRJNA807720;R,20532236,89643,ASM2653835v1
GCA_026538315.1,Cryptococcus sp. GC_Crypt_6,GC_Crypt_6,2937423,0;2;7;8;A;J;N;P;PRJNA807720;R,19673359,191030,ASM2653831v1
GCA_026538335.1,Cryptococcus sp. GC_Crypt_7,GC_Crypt_7,2937422,0;2;7;8;A;J;N;P;PRJNA807720;R,19669281,196132,ASM2653833v1
GCA_026538325.1,Cryptococcus sp. GC_Crypt_8,GC_Crypt_8,2937421,0;2;7;8;A;J;N;P;PRJNA807720;R,17194225,251773,ASM2653832v1
GCA_017654825.1,Cryptococcus sp. T15_22C,T15_22C,2789580,1;4;6;7;A;J;N;P;PRJNA674641;R,16247768,307616,ASM1765482v1
GCA_024271845.1,Cryptococcus sp. VH57_BW,VH57_BW,2946653,0;1;4;8;A;J;N;P;PRJNA841440;R,18883474,127070,ASM2427184v1
GCF_001720155.1,Cryptococcus wingfieldii CBS 7118,CBS 7118,1295528,0;2;5;6;7;A;J;N;P;PRJNA174567;PRJNA176382;PRJNA200567;R,19969799,373767,Tsuc_wing_CBS7118_V1
GCA_022376465.1,Cubamyces lactineus,CIRM-BRFM 1664,1391043,0;2;4;6;A;J;N;P;PRJNA444026;R,36341856,1669682,Tralac1
GCA_022606275.1,Cubamyces menziesii,CIRM-BRFM 1781,2136021,0;2;3;4;A;J;N;P;PRJNA444023;R,35218293,664732,Tramen1
GCA_022385745.1,Cubamyces sp. BRFM 1775,BRFM 1775,1513325,2;5;7;8;9;A;J;N;P;PRJNA252879;R,34515440,179727,Leisp1
GCA_014805705.1,Cucumispora dikerogammari,Dv6,658444,1;2;3;5;7;A;J;N;P;PRJNA513273;R,32414047,8918,ASM1480570v1
GCF_010015615.1,Cucurbitaria berberidis CBS 394.84,CBS 394.84,1168544,0;1;2;4;6;9;A;J;N;P;PRJNA196042;R,32905402,639821,Cucbe1
GCA_013054445.1,Cudoniella acicularis,DSM 108380,354080,0;5;6;7;9;A;J;N;P;PRJNA609597;R,58976596,31758,ASM1305444v1
GCA_000697215.1,Cunninghamella bertholletiae 175,175,1279998,0;1;2;5;6;8;A;J;N;P;PRJNA186025;R,31145096,275505,CunBer175-1.0
GCA_017871115.1,Cunninghamella blakesleeana,AS 3.970,155726,2;4;6;8;9;A;J;N;P;PRJNA698428;R,31944560,4690557,ASM1787111v1
GCA_025201675.1,Cunninghamella echinulata,NRRL 1382,76405,0;3;4;7;A;J;N;P;PRJNA347074;R,29002410,17648,Cunech1
GCA_000697015.1,Cunninghamella elegans B9769,B9769,1274792,1;4;5;8;A;J;N;P;PRJNA184885;R,31743477,136541,CunEleB9769-1.0
GCA_023920165.1,Curvularia clavata,yc1106,95742,2;5;7;8;A;J;N;P;PRJNA785728;R,32360171,4749760,ASM2392016v1
GCA_020744315.1,Curvularia eragrostidis,C52,418125,0;5;7;A;J;N;P;PRJNA757707;R,36881810,230720,ASM2074431v1
GCA_016162275.1,Curvularia geniculata,P1,418126,4;5;6;8;9;A;J;N;P;PRJNA564986;R,32981848,247944,ASM1616227v1
GCA_026262405.1,Curvularia hawaiiensis,PK9021,1230527,0;4;7;8;A;J;N;P;PRJNA874084;R,30043159,21686,ASM2626240v1
GCA_011058905.1,Curvularia kusanoi,30M1,90978,2;3;4;5;A;J;N;P;PRJNA532542;R,33340726,547763,ASM1105890v1
GCA_005212705.1,Curvularia lunata,W3,5503,1;4;6;7;A;J;N;P;PRJNA416716;R,33535945,226947,ASM521270v1
GCA_000817285.1,Curvularia papendorfii,UM 226,1537989,1;2;3;7;A;J;N;P;PRJNA271317;R,33379470,146099,ASM81728v1
GCA_002161795.1,Curvularia sp. IFB-Z10,IFB-Z10,1526222,1;2;5;6;7;A;J;N;P;PRJNA256127;R,33010211,997828,ASM216179v1
GCA_022457065.1,Curvularia sp. ZM96,ZM96,2888491,5;6;7;8;A;J;N;P;PRJNA775668;R,35541076,5074819,ASM2245706v1
GCA_026262435.1,Curvularia spicifera,FR9030,145392,0;4;7;8;A;J;N;P;PRJNA874084;R,31738362,538697,ASM2626243v1
GCA_002335565.1,Cutaneotrichosporon arboriforme,JCM_14201,387937,0;5;9;B;D;J;P;PRJDB5900;R,19894493,1599305,JCM_14201_v001
GCF_030864355.1,Cutaneotrichosporon cavernicola,HIS019,279322,1;4;5;6;B;D;J;P;PRJDB15446;R,20237334,3301802,ASM3086435v1
GCA_001600275.1,Cutaneotrichosporon curvatum,JCM 1532,57679,3;4;6;9;B;D;J;P;PRJDB3556;PRJDB3694;R,18637344,197970,JCM_1532_assembly_v001
GCA_001600715.1,Cutaneotrichosporon cutaneum,JCM 1462,5554,2;3;7;9;B;D;J;P;PRJDB3556;PRJDB3729;R,23155501,110385,JCM_1462_assembly_v001
GCA_002335625.1,Cutaneotrichosporon cyanovorans,JCM_31833,1078942,0;3;5;9;B;D;J;P;PRJDB5903;R,19941766,449938,JCM_31833_v001
GCA_002335585.1,Cutaneotrichosporon daszewskae,JCM_11166,181174,0;1;5;9;B;D;J;P;PRJDB5901;R,17225847,2086962,JCM_11166_v001
GCA_020011015.1,Cutaneotrichosporon dermatis,NICC30027,129132,1;2;5;7;A;J;N;P;PRJNA752511;R,39305439,2902125,ASM2001101v1
GCA_003116955.1,Cutaneotrichosporon mucoides,JCM 9939,82522,0;1;3;7;B;D;J;P;PRJDB3556;PRJDB3710;R,40783511,298878,JCM_9939_assembly_v001
GCF_001027345.1,Cutaneotrichosporon oleaginosum,IBC0246,879819,0;2;3;4;9;A;J;N;P;PRJNA239490;R,19835558,159730,Triol1
GCA_030864385.1,Cutaneotrichosporon sp. HIS471,HIS471,3040995,1;4;5;6;B;D;J;P;PRJDB15446;R,20595329,3127558,ASM3086438v1
GCA_023630095.1,Cutaneotrichosporon sp. P10-008,P10-008,2939520,1;2;3;8;A;J;N;P;PRJNA833221;R,45176577,36152,ASM2363009v1
GCA_023627975.1,Cutaneotrichosporon sp. PA3318,PA3318,2939522,1;2;3;8;A;J;N;P;PRJNA833221;R,20090236,1475860,ASM2362797v1
GCA_023630115.1,Cutaneotrichosporon sp. PK4640,PK4640,2939521,1;2;3;8;A;J;N;P;PRJNA833221;R,45199702,36900,ASM2363011v1
GCA_023627985.1,Cutaneotrichosporon sp. PT3311B,PT3311B,2939523,1;2;3;8;A;J;N;P;PRJNA833221;R,20091665,1232987,ASM2362798v1
GCA_030805415.1,Cutaneotrichosporon spelunceum,HIS016,1672016,1;4;5;6;B;D;J;P;PRJDB15446;R,19159328,2656437,CspeluHIS016_v1
GCA_900618795.1,Cyanodermella asteris,A1,1986089,1;4;7;8;9;B;E;J;P;PRJEB19487;R,28667544,81042,Astra
GCA_025738555.1,Cyathus striatus,NPCB_87405,68777,0;1;6;8;9;A;J;N;P;PRJNA868901;R,107511406,5283711,ASM2573855v1
GCA_003708795.3,Cyberlindnera americana,NRRL Y-2156,36016,2;3;4;6;7;A;J;N;P;PRJNA736342;R,11527319,461391,ASM370879v3
GCA_030557155.1,Cyberlindnera amylophila,NRRL YB-1287,53489,2;3;4;6;7;A;J;N;P;PRJNA736342;R,11780923,282710,ASM3055715v1
GCA_030569745.1,Cyberlindnera bimundalis,NRRL Y-5343,36017,2;3;4;6;7;A;J;N;P;PRJNA736342;R,12122576,252668,ASM3056974v1
GCA_030567115.1,Cyberlindnera euphorbiae,NRRL Y-17232,53490,2;3;4;6;7;A;J;N;P;PRJNA736342;R,12335963,179098,ASM3056711v1
GCA_030556625.1,Cyberlindnera euphorbiiphila,NRRL Y-12742,53491,2;3;4;6;7;A;J;N;P;PRJNA736342;R,12483953,312092,ASM3055662v1
GCA_022641835.1,Cyberlindnera fabianii,JOY008,36022,0;1;4;5;6;8;A;J;N;P;PRJNA605184;R,12292641,1584725,ASM2264183v1
GCA_030565205.1,Cyberlindnera galapagoensis,CBS 13997,1476604,2;3;4;6;7;A;J;N;P;PRJNA736342;R,12080365,156679,ASM3056520v1
GCF_001661405.1,Cyberlindnera jadinii NRRL Y-1542,NRRL Y-1542,983966,0;1;2;4;6;9;A;J;N;P;PRJNA196024;R,13018415,111555,Cybja1
GCA_030557175.1,Cyberlindnera japonica,NRRL YB-2750,53492,2;3;4;6;7;A;J;N;P;PRJNA736342;R,11777606,94044,ASM3055717v1
GCA_030567175.1,Cyberlindnera lachancei,NRRL Y-27008,65818,2;3;4;6;7;A;J;N;P;PRJNA736342;R,14696561,40322,ASM3056717v1
GCA_003708355.3,Cyberlindnera maclurae,NRRL Y-5377,65811,2;3;4;6;7;A;J;N;P;PRJNA736342;R,10445071,100040,ASM370835v3
GCA_030557345.1,Cyberlindnera maritima,NRRL Y-17775,2878918,2;3;4;6;7;A;J;N;P;PRJNA736342;R,14459815,238056,ASM3055734v1
GCA_030462915.1,Cyberlindnera meyerae,NRRL Y-17236,53493,2;3;4;6;7;A;J;N;P;PRJNA736342;R,13629110,35214,ASM3046291v1
GCA_030581715.1,Cyberlindnera mississippiensis,NRRL YB-1294,53607,2;3;4;6;7;A;J;N;P;PRJNA736342;R,11757156,119849,ASM3058171v1
GCA_003707745.2,Cyberlindnera misumaiensis,NRRL Y-17389,131113,1;2;4;9;A;J;N;P;PRJNA429441;R,10458685,113836,ASM370774v2
GCA_003706445.3,Cyberlindnera mrakii,NRRL Y-1364,1004253,1;2;4;9;A;J;N;P;PRJNA429441;R,12420201,280725,ASM370644v3
GCA_003708295.3,Cyberlindnera mycetangii,NRRL Y-6843,130814,2;3;4;6;7;A;J;N;P;PRJNA736342;R,12102564,604780,ASM370829v3
GCA_030572335.1,Cyberlindnera nakhonratchasimensis (nom.inval.),JCM 12474,2879425,2;3;4;6;7;A;J;N;P;PRJNA736342;R,11698706,1017633,ASM3057233v1
GCA_030574135.1,Cyberlindnera petersonii,NRRL YB-3808,36028,2;3;4;6;7;A;J;N;P;PRJNA736342;R,11269824,325753,ASM3057413v1
GCA_030569395.1,Cyberlindnera rhodanensis,NRRL Y-7854,53495,2;3;4;6;7;A;J;N;P;PRJNA736342;R,13910146,60466,ASM3056939v1
GCA_030569715.1,Cyberlindnera samutprakarnensis,CBS 12528,1241557,2;3;4;6;7;A;J;N;P;PRJNA736342;R,12594174,197504,ASM3056971v1
GCA_020995425.1,Cyberlindnera sargentensis,SHA 17.2,907339,0;1;3;5;6;7;A;J;N;P;PRJNA763105;R,11312132,1341035,ASM2099542v1
GCA_003709245.3,Cyberlindnera saturnus,NRRL Y-17396,907340,2;3;4;6;7;A;J;N;P;PRJNA736342;R,12741642,290026,ASM370924v3
GCA_003708225.3,Cyberlindnera suaveolens,NRRL Y-17391,907738,2;3;4;6;7;A;J;N;P;PRJNA736342;R,12242399,134529,ASM370822v3
GCA_017948575.1,Cyberlindnera subsufficiens,NG8.2,1004254,0;2;6;A;J;N;P;PRJNA662200;R,12626481,186611,ASM1794857v1
GCA_030563065.1,Cyberlindnera veronae,NRRL Y-7818,53496,2;3;4;6;7;A;J;N;P;PRJNA736342;R,13568115,222304,ASM3056306v1
GCA_030585085.1,Cyberlindnera xishuangbannaensis,CBS 14692,1943667,2;3;4;6;7;A;J;N;P;PRJNA736342;R,13477069,202187,ASM3058508v1
GCA_003708285.2,Cyberlindnera xylosilytica,NRRL YB-2097,1667614,2;3;4;6;7;A;J;N;P;PRJNA736342;R,13305220,174336,ASM370828v2
GCA_902728275.1,Cyclocybe aegerita,,1973307,1;2;7;9;B;E;J;P;PRJEB21917;R,44790776,134321,AAE3_genes
GCA_000934385.1,Cylindrobasidium torrendii FP15055 ss-10,FP15055 ss-10,1314674,0;1;6;8;9;A;J;N;P;PRJNA196018;R,31574086,80929,Cylto1
GCA_013756995.1,Cylindrocarpon cylindroides,NRRL 22505,94995,0;3;4;6;8;A;J;N;P;PRJNA630438;R,44312118,44107,ASM1375699v1
GCA_014621425.1,Cylindrodendrum hubeiense,IHI 201604,595255,0;4;6;8;9;A;J;N;P;PRJNA609684;R,48811092,85189,ASM1462142v1
GCF_000365145.1,Cyphellophora europaea CBS 101466,CBS 101466,1220924,1;2;3;4;7;8;A;J;N;P;PRJNA172438;PRJNA28331;PRJNA43021;R,28781303,585176,Phia_euro_CBS_101466_V1
GCA_904855205.1,Cyphobasidiales sp. Tagirdzhanova-0007,,2778381,0;2;3;4;B;E;J;P;PRJEB40332;R,17620033,33820,Cyphbasidiales_sp_Tagirdzhanova-0007_MAG
GCA_023628255.1,Cystobasidiaceae sp. 2NF920,2NF920,2939527,1;2;3;8;A;J;N;P;PRJNA833221;R,21658171,278533,ASM2362825v1
GCA_023628355.1,Cystobasidiaceae sp. 2NP905A,2NP905A,2939524,1;2;3;8;A;J;N;P;PRJNA833221;R,21636965,270622,ASM2362835v1
GCA_003351005.1,Cystobasidiaceae sp. HBUAS51001,HBUAS51001,2250717,2;4;5;7;8;A;J;N;P;PRJNA478524;R,42428271,335741,ASM335100v1
GCA_023628295.1,Cystobasidiaceae sp. P9004,P9004,2939525,1;2;3;8;A;J;N;P;PRJNA833221;R,21638468,270049,ASM2362829v1
GCA_023628215.1,Cystobasidiaceae sp. R9020,R9020,2939526,1;2;3;8;A;J;N;P;PRJNA833221;R,21642952,322234,ASM2362821v1
GCA_001599975.1,Cystobasidiopsis lactophilus,JCM 7595,5440,3;6;7;B;D;J;P;PRJDB3556;PRJDB3676;R,22180604,1453215,JCM_7595_assembly_v001
GCA_022835595.1,Cystobasidium ongulense,9A-5,1930695,5;6;8;B;D;J;P;PRJDB6568;R,19896340,450498,Cyongle9A-5_01
GCA_001599955.1,Cystobasidium pallidum,JCM 3780,106015,3;6;7;B;D;J;P;PRJDB3556;PRJDB3673;R,21721408,208756,JCM_3780_assembly_v001
GCA_019775285.1,Cystobasidium slooffiae,I2-R3,106018,3;4;6;7;A;J;N;P;PRJNA644637;R,22069978,511663,ASM1977528v1
GCA_022813105.1,Cystobasidium sp. KV-2022a,FKI-L6-BK-PAB1,3016379,0;1;5;8;A;J;N;P;PRJNA800051;R,20994657,490331,ASM2281310v1
GCA_024345325.1,Cystobasidium tubakii,9A-1,1930696,1;3;7;9;B;D;J;P;PRJDB13797;R,21538963,5242860,Cytuba9A-1_01
GCA_014825535.1,Cystofilobasidium bisporidii,PYCC 5604,5411,1;3;7;8;A;J;N;P;PRJNA371778;R,21510333,126617,ASM1482553v1
GCA_014825545.1,Cystofilobasidium capitatum,CBS 7420,5412,1;3;4;7;A;J;N;P;PRJNA371774;R,21147027,186447,ASM1482554v1
GCA_014825675.1,Cystofilobasidium ferigula,PYCC 4410,89921,1;3;6;7;8;A;J;N;P;PRJNA371786;R,19050388,51213,ASM1482567v1
GCA_014825765.1,Cystofilobasidium macerans,CBS 2425,89926,1;3;4;7;8;A;J;N;P;PRJNA371814;R,20110400,136347,ASM1482576v1
GCA_022592445.1,Cytidiella melzeri,FP 102339,1883072,1;2;3;5;6;A;J;N;P;PRJNA331562;R,50894641,105945,Cytmel1
GCA_003795295.1,Cytospora leucostoma,SXYLt,1230097,2;4;6;8;9;A;J;N;P;PRJNA296468;R,37570220,73722,ASM379529v1
GCA_023079475.1,Cytospora mali,EGI1,578113,1;4;5;7;8;A;J;N;P;PRJNA818457;R,41952590,4819417,ASM2307947v1
GCA_021272945.1,Cytospora paraplurivora,FDS-564,2898453,0;1;3;7;9;A;J;N;P;PRJNA790013;R,39653217,658741,ASM2127294v1
GCA_016508685.1,Cytospora piceae,CFCC52841,2570895,0;3;5;6;7;A;J;N;P;PRJNA675330;R,39248550,2935395,ASM1650868v1
GCF_000292625.1,Dacryopinax primogenitus,DJM-731 SS1,1858805,0;1;2;6;9;A;J;N;P;PRJNA62091;R,29503487,66431,Dacryopinax sp. DJM 731 SSP1 v1.0
GCA_012184295.1,Dactylella cylindrospora,CBS325.70,1814901,2;3;4;6;8;9;A;J;N;P;PRJNA283946;R,37713459,34009,ASM1218429v1
GCA_012184355.1,Dactylellina cionopaga,YMF1.00569,47266,2;3;4;8;9;A;J;N;P;PRJNA283944;R,43120050,17105,ASM1218435v1
GCA_031310005.1,Dactylellina haptotyla,YMF1.03409,430498,0;2;3;7;9;A;J;N;P;PRJNA923037;R,39806839,3741584,ASM3131000v1
GCA_029931735.1,Dactylonectria alcacerensis,CT-6,1079268,0;2;5;7;9;A;J;N;P;PRJNA905207;R,61760550,4367436,ASM2993173v1
GCA_020744375.1,Dactylonectria estremocensis,MPI-CAGE-AT-0021,1079267,0;1;3;6;7;9;A;J;N;P;PRJNA370196;R,64663708,1530580,Daces1
GCA_020744425.1,Dactylonectria macrodidyma,MPI-CAGE-AT-0147,307937,0;1;2;5;A;J;N;P;PRJNA500112;R,77328613,2130175,Dacma1
GCA_011426275.1,Dactylonectria torresensis,BV-666,1199091,1;2;5;6;A;J;N;P;PRJNA566152;R,65327907,98034,ASM1142627v1
GCA_001632345.1,Daedalea quercina L-15889,L-15889,1314783,0;1;5;6;9;A;J;N;P;PRJNA196055;R,32736329,137366,Daequ1
GCA_022606115.1,Daedaleopsis nitida,CIRM-BRFM 1802,1140402,0;3;4;A;J;N;P;PRJNA444033;R,41833432,3186461,Hexnit1
GCA_033807695.1,Daedaleopsis sinensis,Si85,596167,0;1;3;4;9;A;J;N;P;PRJNA1030494;R,51668064,4396746,ASM3380769v1
